"","movie_index","original_title","moviesynthesis","neigbhoors"
3559,3559,"Paranormal Activity 3","{'movie_id':'72571','original_title':'Paranormal Activity 3','overview':'In 1988; evil begins to terrorize young sisters Katie and Kristi for the first time when an invisible entity resides in their home.','tagline':'It Runs In The Family','main_category':'','homepage':'http://www.paranormalmovie.com/'}","{'neighb1':'2528','neighb2':'2316','neighb3':'1989','neighb4':'1778','neighb5':'2518'}"
3560,3560,"Ouija","{'movie_id':'242512','original_title':'Ouija','overview':'A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.','tagline':'Keep telling yourself it°s just a game','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2913','neighb2':'1184','neighb3':'2526','neighb4':'2279','neighb5':'1536'}"
3561,3561,"A Nightmare on Elm Street 3; Dream Warriors","{'movie_id':'10072','original_title':'A Nightmare on Elm Street 3; Dream Warriors','overview':'It°s been many years since Freddy Krueger°s first victim; Nancy; came face-to-face with Freddy and his sadistic; evil ways. Now; Nancy°s all grown up; she°s put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy°s decided to herald his return by invading the kids° dreams and scaring them into committing suicide.','tagline':'If you think you°re ready for Freddy; think again!','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2830','neighb2':'3474','neighb3':'3433','neighb4':'2138','neighb5':'655'}"
3562,3562,"No se Aceptan Devoluciones","{'movie_id':'211954','original_title':'No se Aceptan Devoluciones','overview':'Valentin is Acapulco°s resident playboy; until a former fling leaves a baby on his doorstep and him heading with her out of Mexico.','tagline':'Life doesn°t care if you°re ready.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3420','neighb2':'2919','neighb3':'3307','neighb4':'4467','neighb5':'3567'}"
3563,3563,"Paranormal Activity 4","{'movie_id':'82990','original_title':'Paranormal Activity 4','overview':'It has been five years since the disappearance of Katie and Hunter; and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.','tagline':'It°s closer than you think','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'321','neighb2':'2290','neighb3':'2098','neighb4':'1292','neighb5':'3893'}"
3564,3564,"The Robe","{'movie_id':'29912','original_title':'The Robe','overview':'Marcellus is a tribune in the time of Christ. He is in charge of the group that is assigned to crucify Jesus. Drunk; he wins Jesus° homespun robe after the crucifixion. He is tormented by nightmares and delusions after the event. Hoping to find a way to live with what he has done; and still not believing in Jesus; he returns to Palestine to try and learn what he can of the man he killed.','tagline':'The first motion picture in CinemaScope--the modern miracle you see without glasses!','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3924','neighb2':'3747','neighb3':'4387','neighb4':'4613','neighb5':'4762'}"
3565,3565,"The Return of the Pink Panther","{'movie_id':'11843','original_title':'The Return of the Pink Panther','overview':'The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that °The Phantom° has returned and utilises all of his resources – himself and his Asian manservant – to reveal the identity of °The Phantom°.','tagline':' ','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4082','neighb2':'2922','neighb3':'3141','neighb4':'1552','neighb5':'2734'}"
3566,3566,"Freddy°s Dead; The Final Nightmare","{'movie_id':'11284','original_title':'Freddy°s Dead; The Final Nightmare','overview':'Just when you thought it was safe to sleep; Freddy Krueger returns in this sixth installment of the Nightmare on Elm Street films; as psychologist Maggie Burroughs; tormented by recurring nightmares; meets a patient with the same horrific dreams. Their quest for answers leads to a certain house on Elm Street -- where the nightmares become reality.','tagline':'They saved the best for last.','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1636','neighb2':'2728','neighb3':'1469','neighb4':'1097','neighb5':'1267'}"
3567,3567,"Monster","{'movie_id':'504','original_title':'Monster','overview':'Aileen Wuornos is an emotionally scarred highway hooker who shoots a sadistic trick who rapes her and ultimately becomes America°s first female serial killer.','tagline':'The first female serial killer of America','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3348','neighb2':'3012','neighb3':'2537','neighb4':'4467','neighb5':'3307'}"
3568,3568,"20;000 Leagues Under the Sea","{'movie_id':'173','original_title':'20;000 Leagues Under the Sea','overview':'A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine; the Nautilus; commanded by Captain Nemo.','tagline':'The mightiest motion picture of them all!','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4160','neighb2':'4693','neighb3':'2877','neighb4':'2375','neighb5':'257'}"
3569,3569,"Paranormal Activity; The Marked Ones","{'movie_id':'227348','original_title':'Paranormal Activity; The Marked Ones','overview':'Seventeen-year-old Jesse has been hearing terrifying sounds coming from his neighbor’s apartment; but when he turns on his camera and sets out to uncover their source; he encounters an ancient evil that won’t rest until it’s claimed his very soul.','tagline':'You°re one of us now.','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4514','neighb2':'3455','neighb3':'4052','neighb4':'2733','neighb5':'3998'}"
3570,3570,"The Elephant Man","{'movie_id':'1955','original_title':'The Elephant Man','overview':'A Victorian surgeon rescues a heavily disfigured man being mistreated by his °owner° as a side-show freak. Behind his monstrous façade; there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film); a severely deformed man in 19th century London.','tagline':'I am not an animal! I am a human being! I... am... a man!','main_category':'History','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1852','neighb2':'1759','neighb3':'1387','neighb4':'1875','neighb5':'1706'}"
3571,3571,"Dallas Buyers Club","{'movie_id':'152532','original_title':'Dallas Buyers Club','overview':'Loosely based on the true-life tale of Ron Woodroof; a drug-taking; women-loving; homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.','tagline':'Sometimes it takes a hustler to change the world','main_category':'History','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2105','neighb2':'2517','neighb3':'1780','neighb4':'749','neighb5':'2354'}"
3572,3572,"The Lazarus Effect","{'movie_id':'243940','original_title':'The Lazarus Effect','overview':'Medical researcher Frank; his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful; but unsanctioned; experiment on a lifeless animal; they are ready to make their work public. However; when their dean learns what they°ve done; he shuts them down. Zoe is killed during an attempt to recreate the experiment; leading Frank to test the process on her. Zoe is revived -- but something evil is within her.','tagline':'Evil will rise.','main_category':'Horror','homepage':'https://www.facebook.com/thelazaruseffect'}","{'neighb1':'4008','neighb2':'2673','neighb3':'1981','neighb4':'2477','neighb5':'3762'}"
3573,3573,"Memento","{'movie_id':'77','original_title':'Memento','overview':'Suffering short-term memory loss after a head injury; Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty; complex thriller that packs more knots than a hangman°s noose. To carry out his plan; Shelby snaps Polaroids of people and places; jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.','tagline':'Some memories are best forgotten.','main_category':'Thriller','homepage':'http://www.otnemem.com/'}","{'neighb1':'4300','neighb2':'2284','neighb3':'2760','neighb4':'2730','neighb5':'1815'}"
3574,3574,"Oculus","{'movie_id':'157547','original_title':'Oculus','overview':'A woman tries to exonerate her brother°s murder conviction by proving that the crime was committed by a supernatural phenomenon.','tagline':'You see what it wants you to see','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2215','neighb2':'1906','neighb3':'1970','neighb4':'2034','neighb5':'2281'}"
3575,3575,"Clerks II","{'movie_id':'2295','original_title':'Clerks II','overview':'A calamity at Dante and Randall°s shops sends them looking for new horizons - but they ultimately settle at Mooby°s; a fictional Disney-McDonald°s-style fast-food empire.','tagline':'With No Power Comes No Responsibility','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3697','neighb2':'1316','neighb3':'2497','neighb4':'2985','neighb5':'4605'}"
3576,3576,"Billy Elliot","{'movie_id':'71','original_title':'Billy Elliot','overview':'Set against the background of the 1984 Miner°s Strike; Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family°s set ways; inner conflict; and standing on his toes!','tagline':'Inside every one of us is a special talent waiting to come out. The trick is finding it.','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2067','neighb2':'1609','neighb3':'3019','neighb4':'4663','neighb5':'4119'}"
3577,3577,"The Way Way Back","{'movie_id':'147773','original_title':'The Way Way Back','overview':'Over the course of his summer break; a teenager comes into his own thanks in part to the friendship he strikes up with one of the park°s managers.','tagline':'We°ve all been there.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3311','neighb2':'3242','neighb3':'2448','neighb4':'2141','neighb5':'3699'}"
3578,3578,"House Party 2","{'movie_id':'16096','original_title':'House Party 2','overview':'Kid°N°Play leave their neighborhood and enter the world of adulthood and higher education. Play attempts to get rich quick in the music business while Kid faces the challenges of college.','tagline':' ','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1899','neighb2':'2231','neighb3':'4414','neighb4':'2589','neighb5':'4047'}"
3579,3579,"The Man from Snowy River","{'movie_id':'24266','original_title':'The Man from Snowy River','overview':'Jim Craig has lived his first 18 years in the mountains of Australia on his father°s farm. The death of his father forces him to go to the low lands to earn enough money to get the farm back on its feet. Kirk Douglas plays two roles as twin brothers who haven°t spoken for years; one of whom was Jim°s father°s best friend and the other of whom is the father of the girl he wants to marry.','tagline':'The story of a boy suddenly alone in the world. The men who challenge him. And the girl who helps him become a man.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3715','neighb2':'676','neighb3':'1139','neighb4':'833','neighb5':'3138'}"
3580,3580,"Doug°s 1st Movie","{'movie_id':'16508','original_title':'Doug°s 1st Movie','overview':'Doug and his pal Skeeter set°s out to find the monster of Lucky Duck Lake. Though things get really out of hand when some one blurts out that the monster is real.','tagline':'You°ll Dig Doug!','main_category':'Family','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1676','neighb2':'2363','neighb3':'4754','neighb4':'2466','neighb5':'1983'}"
3581,3581,"The Apostle","{'movie_id':'2895','original_title':'The Apostle','overview':'After his happy life spins out of control; a preacher from Texas changes his name; goes to Louisiana and starts preaching on the radio.','tagline':'The hardest soul to save was his own.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3497','neighb2':'3491','neighb3':'3458','neighb4':'3325','neighb5':'3379'}"
3582,3582,"Mommie Dearest","{'movie_id':'15660','original_title':'Mommie Dearest','overview':'In this biographical film; glamorous yet lonely star Joan Crawford takes in two orphans; and at first their unconventional family seems happy. But after Joan°s attempts at romantic fulfillment go sour and she is fired from her contract with MGM studios; her callous and abusive behavior towards her daughter Christina becomes even more pronounced. Christina leaves home and takes her first acting role; only to find her mother°s presence still overshadowing her.','tagline':'The meanest mother of them all','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4227','neighb2':'4228','neighb3':'3814','neighb4':'4298','neighb5':'3102'}"
3583,3583,"Our Idiot Brother","{'movie_id':'59968','original_title':'Our Idiot Brother','overview':'Everybody has the sibling who is always just a little bit behind the curve when it comes to getting his life together. For sisters Liz; Miranda and Natalie; that person is their perennially upbeat brother Ned; an erstwhile organic farmer whose willingness to rely on the honesty of mankind is a less-than-optimum strategy for a tidy; trouble-free existence. Ned may be utterly lacking in common sense; but he is their brother and so; after his girlfriend dumps him and boots him off the farm; his sisters once again come to his rescue. As Liz; Miranda and Natalie each take a turn at housing Ned; their brother°s unfailing commitment to honesty creates more than a few messes in their comfortable routines. But as each of their lives begins to unravel; Ned°s family comes to realize that maybe; in believing and trusting the people around him; Ned isn°t such an idiot after all.','tagline':'Everybody has one','main_category':'Drama','homepage':'http://www.ouridiotbrother.com/'}","{'neighb1':'3092','neighb2':'3387','neighb3':'3864','neighb4':'3713','neighb5':'4533'}"
3584,3584,"Race","{'movie_id':'323677','original_title':'Race','overview':'Based on the incredible true story of Jesse Owens; the legendary athletic superstar whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics; where he faces off against Adolf Hitler°s vision of Aryan supremacy. Starring Stephan James; Jason Sudeikis; Jeremy Irons; Carice Van Houten and William Hurt - Race is an enthralling film about courage; determination; tolerance; and friendship; and an inspiring drama about one man°s fight to become an Olympic legend.','tagline':'The incredible true story of gold medal champion Jesse Owens','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3679','neighb2':'2068','neighb3':'3276','neighb4':'3532','neighb5':'3577'}"
3585,3585,"The Players Club","{'movie_id':'19848','original_title':'The Players Club','overview':'Young single mother Diana struggles to provide for her child and pay for her college education. She ends up working at a shoe store; but meets two strippers from at a nearby gentlemen°s club who convince her there°s fast money to be made stripping. At the Players Club; however; Diana faces danger and heartbreak.','tagline':'Here; we get down and dirty.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3932','neighb2':'3110','neighb3':'3102','neighb4':'4498','neighb5':'4298'}"
3586,3586,"As Above; So Below","{'movie_id':'256274','original_title':'As Above; So Below','overview':'When a team of explorers ventures into the catacombs that lie beneath the streets of Paris; they uncover the dark secret that lies within this city of the dead.','tagline':'The only way out is down.','main_category':'Thriller','homepage':'http://www.asabovesobelowmovie.com/'}","{'neighb1':'2990','neighb2':'3167','neighb3':'2234','neighb4':'3676','neighb5':'3031'}"
3587,3587,"Addicted","{'movie_id':'235271','original_title':'Addicted','overview':'A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.','tagline':'Every Woman Needs an Escape','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3759','neighb2':'2692','neighb3':'2686','neighb4':'4185','neighb5':'3021'}"
3588,3588,"Eve°s Bayou","{'movie_id':'45153','original_title':'Eve°s Bayou','overview':'The story is set in 1962 Louisiana. The big Batiste family is headed by charming doctor Louis. Though he is married to beautiful Roz; he has a weakness for attractive women patients. One day Louis is flirting with married and sexy Metty Mereaux; not knowing that he is observed by his youngest idealistic daughter Eve; who is there by accident. Eve can not forget the incident which is traumatic for her naivete and shares a secret with older sister Cisely. Lies start to roll...','tagline':'The secrets that hold us together can also tear us apart.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4609','neighb2':'4410','neighb3':'4412','neighb4':'4793','neighb5':'4501'}"
3589,3589,"Still Alice","{'movie_id':'284293','original_title':'Still Alice','overview':'Alice Howland; happily married with three grown children; is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis; Alice and her family find their bonds tested.','tagline':' ','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4595','neighb2':'2344','neighb3':'1378','neighb4':'4672','neighb5':'3622'}"
3590,3590,"The Egyptian","{'movie_id':'24973','original_title':'The Egyptian','overview':'In eighteenth-dynasty Egypt; Sinuhe; a poor orphan; becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe°s personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.','tagline':'To Nefer; shameless temptress of Babylon; he surrendered his parents° hope of immortality!','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3927','neighb2':'2876','neighb3':'1772','neighb4':'4394','neighb5':'4510'}"
3591,3591,"Nighthawks","{'movie_id':'21610','original_title':'Nighthawks','overview':'An international terrorist has New York in a grip of panic and it°s up to Det. Sgt. Deke DaSilva to take him down.','tagline':'A terrorist holds New York in a grip of fear - and only Stallone can take him on.','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3727','neighb2':'4798','neighb3':'3101','neighb4':'4630','neighb5':'4391'}"
3592,3592,"Friday the 13th Part VIII; Jason Takes Manhattan","{'movie_id':'10283','original_title':'Friday the 13th Part VIII; Jason Takes Manhattan','overview':'The Big Apple°s in big trouble; as indestructible psycho-fiend Jason Vorhees hits the road to New York City. After a shocking return from beyond the grave; the diabolical Jason ships out abroad a teen-filled °love boat° bound for New York; which he soon transforms into the ultimate voyage of the damned. Then one of his terrified victims escapes into the nightmarish maze of Manhattan°s subways and sewers; only to confront Jason one final time.','tagline':'The Big Apple°s in BIG trouble!','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3137','neighb2':'3595','neighb3':'3017','neighb4':'4053','neighb5':'4248'}"
3593,3593,"My Big Fat Greek Wedding","{'movie_id':'8346','original_title':'My Big Fat Greek Wedding','overview':'A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.','tagline':'Love is here to stay... so is her family.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3696','neighb2':'2395','neighb3':'1483','neighb4':'1832','neighb5':'1572'}"
3594,3594,"Spring Breakers","{'movie_id':'122081','original_title':'Spring Breakers','overview':'After four college girls rob a restaurant to fund their spring break in Florida; they get entangled with a weird dude with his own criminal agenda.','tagline':'A little sun can bring out your dark side.','main_category':'Crime','homepage':'http://www.springbreakersmovie.com/'}","{'neighb1':'1434','neighb2':'1368','neighb3':'2413','neighb4':'1964','neighb5':'1585'}"
3595,3595,"Halloween; The Curse of Michael Myers","{'movie_id':'10987','original_title':'Halloween; The Curse of Michael Myers','overview':'Six years ago; Michael Myers terrorized the town of Haddonfield; Illinois. He and his niece; Jamie Lloyd; have disappeared. Jamie was kidnapped by a bunch of evil druids who protect Michael Myers. And now; six years later; Jamie has escaped after giving birth to Michael°s child. She runs to Haddonfield to get Dr. Loomis to help her again.','tagline':'Haddonfield is ready to celebrate Halloween.... so is Michael Myers!','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3137','neighb2':'4053','neighb3':'3592','neighb4':'4248','neighb5':'3017'}"
3596,3596,"Y tu mamá también","{'movie_id':'1391','original_title':'Y tu mamá también','overview':'In Mexico; two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life; friendship; sex; and each other.','tagline':'Life has its ways of teaching. Life has its ways to confuse us. Life has its ways to move us. Life has its ways to amaze. Life has its ways to hurt us. Life has its ways to heal. Life has its ways to inspire.','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2836','neighb2':'3743','neighb3':'862','neighb4':'3366','neighb5':'4198'}"
3597,3597,"Shaun of the Dead","{'movie_id':'747','original_title':'Shaun of the Dead','overview':'Shaun lives a supremely uneventful life; which revolves around his girlfriend; his mother; and; above all; his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.','tagline':'A romantic comedy. With zombies.','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2530','neighb2':'2334','neighb3':'3218','neighb4':'298','neighb5':'1783'}"
3598,3598,"The Haunting of Molly Hartley","{'movie_id':'14745','original_title':'The Haunting of Molly Hartley','overview':'When teenage Molly Hartley moves to a new town; she°s haunted by terrifying visions that may have to do with dark secrets from her past. Something evil lurks just beneath the lush surfaces of her private-school world; and it holds the rights to her very soul. On the eve of her 18th birthday; Molly is about to discover the truth of just who or what she is destined to become.','tagline':'Her past is yet to come.','main_category':'Horror','homepage':'http://www.mylifetime.com/movies/the-haunting-of-molly-hartley'}","{'neighb1':'4313','neighb2':'2715','neighb3':'4545','neighb4':'3843','neighb5':'4767'}"
3599,3599,"Lone Star","{'movie_id':'26748','original_title':'Lone Star','overview':'When the skeleton of his murdered predecessor is found; Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.','tagline':'John Sayles invites you to return to the scene of the crime.','main_category':'Mystery','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2447','neighb2':'3839','neighb3':'2847','neighb4':'993','neighb5':'1799'}"
3600,3600,"Halloween 4; The Return of Michael Myers","{'movie_id':'11357','original_title':'Halloween 4; The Return of Michael Myers','overview':'The legend of that creepy masked-man; Michael Myers; comes to life once again in this fourth installment of the successful horror franchise. This time; it°s Michael°s niece; Jamie; who can°t seem to escape her crazy uncle. With Michael on the loose; Jamie enlists the help of good old Dr. Loomis to stop the murderer. This time; though; there seems to be no end to Michael°s madness.','tagline':'Horror has returned to Haddonfield.','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3104','neighb2':'3192','neighb3':'3109','neighb4':'2596','neighb5':'2150'}"
3601,3601,"April Fool°s Day","{'movie_id':'24913','original_title':'April Fool°s Day','overview':'A group of eight college friends gather together at an island mansion belonging to heiress Muffy St. John to celebrate their final year of school. They soon discover that each has a hidden secret from their past which is revealed; and soon after; they turn up dead.','tagline':'Childish pranks turn into a bloody battle for survival!','main_category':'Mystery','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4080','neighb2':'4234','neighb3':'4222','neighb4':'4650','neighb5':'4212'}"
3602,3602,"Diner","{'movie_id':'13776','original_title':'Diner','overview':'Set in 1959; Diner shows how five young men resist their adulthood and seek refuge in their beloved Diner. The mundane; childish; and titillating details of their lives are shared. But the golden moments pass; and the men shoulder their responsibilities; leaving the Diner behind.','tagline':'Suddenly; life was more than French fries; gravy; and girls.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4454','neighb2':'4528','neighb3':'4095','neighb4':'4218','neighb5':'4087'}"
3603,3603,"Lone Wolf McQuade","{'movie_id':'14854','original_title':'Lone Wolf McQuade','overview':'The archetypical renegade Texas Ranger wages war against a drug kingpin with automatic weapons; his wits and martial arts after a gun battle leaves his partner dead. All of this inevitably culminates a martial arts showdown between the drug lord and the ranger; and involving the woman they both love.','tagline':'The °Mad Dog° Criminal...The °Lone Wolf° Lawman...The Ultimate Showdown.','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2168','neighb2':'1463','neighb3':'2779','neighb4':'1090','neighb5':'1461'}"
3604,3604,"Apollo 18","{'movie_id':'50357','original_title':'Apollo 18','overview':'Officially; Apollo 17 was the last manned mission to the moon. But a year later in 1973; three American astronauts were sent on a secret mission to the moon funded by the US Department of Defense. What you are about to see is the actual footage which the astronauts captured on that mission. While NASA denies it°s authenticity; others say it°s the real reason we°ve never gone back to the moon.','tagline':'There°s a reason we°ve never gone back to the moon.','main_category':'Thriller','homepage':'http://apollo18movie.net/'}","{'neighb1':'1272','neighb2':'1826','neighb3':'2403','neighb4':'454','neighb5':'582'}"
3605,3605,"Sunshine Cleaning","{'movie_id':'13090','original_title':'Sunshine Cleaning','overview':'A single mother and her slacker sister find an unexpected way to turn their lives around in the off-beat dramatic comedy. In order to raise the tuition to send her young son to private school the mom starts an unusual business – a biohazard removal/crime scene clean-up service.','tagline':'life°s a messy business.','main_category':'Drama','homepage':'http://www.sunshinecleaning-themovie.com'}","{'neighb1':'4090','neighb2':'3748','neighb3':'2503','neighb4':'3362','neighb5':'3862'}"
3606,3606,"No Escape","{'movie_id':'192141','original_title':'No Escape','overview':'In their new overseas home; an American family soon finds themselves caught in the middle of a coup; and they frantically look for a safe escape in an environment where foreigners are being immediately executed.','tagline':'No rescue. No refuge.','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2865','neighb2':'2043','neighb3':'1909','neighb4':'2056','neighb5':'1604'}"
3607,3607,"The Beastmaster","{'movie_id':'16441','original_title':'The Beastmaster','overview':'Dar; is the son of a king; who is hunted by a priest after his birth and grows up in another family. When he becomes a grown man his new father is murdered by savages and he discovers that he has the ability to communicate with the animals; which leads him on his quest for revenge against his father°s killers.','tagline':'Born with the courage of an eagle; the strength of a black tiger; and the power of a god.','main_category':'Fantasy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2263','neighb2':'2266','neighb3':'4654','neighb4':'2652','neighb5':'3402'}"
3608,3608,"Solomon and Sheba","{'movie_id':'29996','original_title':'Solomon and Sheba','overview':'Under the rule of King David; Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son; Solomon; as his successor; but David°s  elder son Prince Adonijah; a warrior; declares himself King. When David learns of this; he publicly announces Solomon to be his successor. Adonijah and Joab; his general; withdraw in rage. Israel prospers under King Solomon°s wise and benevolent rule and is seen as a threat to more tyrannical monarchs in the region. The Pharaoh of Egypt agrees to cede a Red Sea port to the Queen of Sheba in a plot to undermine Solomon°s rule. Sheba is to seduce Solomon and introduce Sheban pagan worship into Jerusalem. Meanwhile; Prince Adonijah; now banished; also conspires with Pharaoh and is given an army to defeat Solomon. The film is a highly fictionalized dramatization of events depicted in The Bible -- First Kings chapter 10 and Second Chronicles chapter 9.','tagline':'Only once in 3000 years...anything like...','main_category':'History','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2241','neighb2':'1285','neighb3':'4244','neighb4':'1039','neighb5':'855'}"
3609,3609,"Fifty Shades of Black","{'movie_id':'351819','original_title':'Fifty Shades of Black','overview':'An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.','tagline':'Way shadier than gray.','main_category':'Comedy','homepage':'http://50shadesofblackmovie.com/'}","{'neighb1':'2132','neighb2':'1806','neighb3':'2023','neighb4':'2194','neighb5':'1353'}"
3610,3610,"Not Easily Broken","{'movie_id':'14834','original_title':'Not Easily Broken','overview':'A car accident and shifting affections test the bond between a married couple.','tagline':' ','main_category':'Romance','homepage':'http://www.sonypictures.com/movies/noteasilybroken/site/'}","{'neighb1':'1350','neighb2':'3179','neighb3':'4768','neighb4':'4232','neighb5':'4406'}"
3611,3611,"A Farewell to Arms","{'movie_id':'22649','original_title':'A Farewell to Arms','overview':'British nurse Catherine Barkley (Helen Hayes) and American Lieutenant Frederic Henry (Gary Cooper) fall in love during the First World War in Italy. Eventually separated by Frederic°s transfer; tremendous challenges and difficult decisions face each; as the war rages on. Academy Awards winner for Best Cinematography and for Best Sound; Recording. Nominated for Best Picture and for Best Art Direction.','tagline':'Every woman who has loved will understand','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3996','neighb2':'2782','neighb3':'3287','neighb4':'4661','neighb5':'2936'}"
3612,3612,"The Perfect Match","{'movie_id':'378200','original_title':'The Perfect Match','overview':'Terrence J. stars as Charlie; a playboy who°s convinced that relationships are dead. His two best friends; Donald Faison and Robert C. Riley; bet him that if he sticks to one woman for one month; he°s bound to get attached. Charlie denies this until he crosses paths with the beautiful and mysterious Eva; played by singer/actress Cassie. They may agree to a casual affair; but eventually Charlie is questioning whether he may actually want more.','tagline':'t°s what everyone°s looking for','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3803','neighb2':'2949','neighb3':'3809','neighb4':'2892','neighb5':'2854'}"
3613,3613,"Digimon; The Movie","{'movie_id':'20455','original_title':'Digimon; The Movie','overview':'The first story focused on Tai and Kari Kamiya four years before their adventure in the Digital World. It shows their first encounter with Digimon and what happened to them (as well as the other children). Tai and Kari wake one morning to find a Digi-Egg that came out of their computer the night before and the egg soon hatches; revealing a Botamon. The Digimon then evolves into Koromon and then Agumon (not the same one that became friends with Tai in the series; and yet; somehow; both Koromon and Kari remember each other); who then goes out and unintentionally destroys a good part of the neighborhood with Kari riding on his back. A second Digi-Egg appears in the sky to reveal an evil digimon; Parrotmon. Agumon then Digivolves to Greymon but isn°t strong enough to beat Parrotmon and is knocked out. Tai grabs Kari°s whistle and wakes up Greymon; who defeats Parrotmon and disappears with him.','tagline':' ','main_category':'Animation','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2590','neighb2':'1562','neighb3':'4286','neighb4':'604','neighb5':'4259'}"
